element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Cr 1	5348.312	534.8312	-1.210	1.0036	8094.576	3.0	3.3210	26785.672	3.0	7.0	1.500	1.670	AO	6.46E+07	7.810	-5.910	329.262	-7.620	329.262	1.000	0.790	101.370	s	p	F	0	1	24.0	24.0	24.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5373.709	537.3709	-0.770	4.4730	36077.160	3.0	6.7800	54684.388	4.0	9.0	0.790	1.140	AO	1.38E+08	8.140	-4.950	1044.282	-7.123	1044.282	1.000	0.640	62.540	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5379.574	537.9574	-1.514	3.6940	29794.105	4.0	5.9990	48385.198	5.0	11.0	0.980	1.020	AO	7.08E+07	7.850	-6.120	363.249	-7.575	363.249	1.000	0.670	60.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 2	5381.015	538.1015	-1.970	1.5650	12622.570	1.5	3.8690	31205.590	2.5	6.0	0.800	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.650	54.660	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5386.334	538.6334	-1.740	4.1540	33504.253	3.0	6.4560	52071.152	2.0	5.0	1.490	1.810	AO	2.82E+08	8.450	-4.470	930.278	-7.172	930.278	1.000	0.430	29.890	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Mn 1	5399.470	539.9470	-0.104	3.8500	31052.329	1.5	6.1490	49595.030	1.5	4.0	1.730	2.000	GA	7.94E+07	7.900	-5.390	-7.590	-7.590	-7.590	1.000	0.420	27.250	p	s	F	0	1	25.0	25.0	25.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	5414.073	541.4073	-3.580	3.2215	25983.137	3.5	5.5110	44449.213	3.5	8.0	0.980	1.400	AO	3.63E+08	8.560	-6.530	185.303	-7.878	185.303	1.000	0.430	29.200	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 2	5418.767	541.8767	-2.110	1.5820	12759.684	2.5	3.8690	31205.590	2.5	6.0	1.200	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.590	46.500	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	5425.257	542.5257	-3.220	3.1996	25806.502	4.5	5.4840	44231.443	4.5	10.0	1.150	1.320	AO	2.88E+08	8.460	-6.530	178.255	-7.886	178.255	1.000	0.570	45.590	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5466.396	546.6396	-0.565	4.3710	35254.475	4.0	6.6390	53547.147	3.0	7.0	1.100	1.350	AO	2.04E+08	8.310	-4.580	865.278	-7.204	865.278	1.000	0.690	80.970	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
