element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Zn 1	6362.350	636.2350	0.140	5.7900	46699.477	1.0	7.7440	62459.573	2.0	5.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.310	24.280	p	d	F	0	1	30.0	30.0	30.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	636.2352	636.2182	636.2582		258150	258133	258173	0.140	0.119	636.2182	636.2582	258133	258173	636.2352	0.0059	-0.1400	1.000	9999.0000	0.0036	0.0138	6.4970	46143	0.140	0.135	0.0021	-5.49	20.6	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6378.250	637.8250	-0.900	4.1535	33500.220	3.0	6.0970	49175.622	4.0	9.0	1.200	1.050	AO	2.45E+08	8.390	-4.870	825.283	-7.225	825.283	1.000	0.390	32.700	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	637.8254	637.8014	637.8454		259740	259716	259760	0.217	0.196	637.8014	637.8454	259716	259760	637.8256	0.0057	-0.2164	1.000	9999.0000	0.0026	0.0135	6.3308	47354	0.216	0.215	0.0031	-5.31	31.0	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6380.743	638.0743	-1.376	4.1860	33762.350	2.0	6.1290	49433.719	2.0	5.0	0.680	0.680	GA	7.59E+07	7.880	-6.030	-7.790	-7.790	-7.790	1.000	0.520	46.500	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	638.0744	638.0514	638.1004		259989	259966	260015	0.355	0.334	638.0514	638.1004	259966	260015	638.0748	0.0057	-0.3542	1.000	9999.0000	0.0017	0.0133	6.2654	47849	0.354	0.351	0.0050	-5.10	50.3	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 2	6416.919	641.6919	-2.640	3.8918	31389.469	2.5	5.8230	46965.663	2.5	6.0	1.330	1.590	AO	3.16E+08	8.500	-6.530	185.276	-7.873	185.276	1.000	0.450	40.290	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	641.6926	641.6706	641.7156		263607	263585	263630	0.268	0.247	641.6706	641.7156	263585	263630	641.6930	0.0061	-0.2680	1.000	9999.0000	0.0024	0.0143	6.6807	44874	0.268	0.259	0.0041	-5.20	40.8	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 2	6432.680	643.2680	-3.570	2.8912	23319.089	2.5	4.8180	38859.791	2.5	6.0	2.000	1.650	AO	2.95E+08	8.470	-6.530	169.204	-7.899	169.204	1.000	0.490	44.370	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	643.2687	643.2447	643.2887		265183	265159	265203	0.268	0.248	643.2447	643.2887	265159	265203	643.2685	0.0059	-0.2686	1.000	9999.0000	0.0023	0.0138	6.4264	46650	0.269	0.266	0.0039	-5.21	39.4	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Ca 1	6455.598	645.5598	-1.340	2.5230	20349.357	2.0	4.4430	35835.212	2.0	5.0	1.160	0.890	AO	4.65E+07	7.667	-6.072	365.241	-7.570	365.241	1.000	0.520	55.560	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	645.5609	645.5339	645.5819		267475	267448	267496	0.375	0.355	645.5339	645.5819	267448	267496	645.5605	0.0058	-0.3759	1.000	9999.0000	0.0017	0.0136	6.3281	47375	0.376	0.373	0.0055	-5.07	54.5	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 2	6456.383	645.6383	-2.050	3.9036	31484.642	3.5	5.8230	46965.663	2.5	6.0	1.410	1.590	AO	3.16E+08	8.500	-6.530	185.276	-7.873	185.276	1.000	0.570	64.310	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	645.6389	645.6069	645.6619		267553	267521	267576	0.396	0.375	645.6069	645.6619	267521	267576	645.6388	0.0061	-0.3950	1.000	9999.0000	0.0016	0.0144	6.6810	44872	0.395	0.392	0.0060	-5.03	60.5	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Ca 1	6471.662	647.1662	-0.686	2.5250	20365.488	3.0	4.4410	35819.081	3.0	7.0	1.330	1.080	AO	4.42E+07	7.645	-6.072	365.241	-7.570	365.241	1.000	0.630	91.890	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	647.1670	647.1420	647.1910		269081	269056	269105	0.549	0.529	647.1420	647.1910	269056	269105	647.1666	0.0063	-0.5496	1.000	9999.0000	0.0014	0.0149	6.8921	43498	0.550	0.546	0.0087	-4.87	87.0	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Ba 2	6496.900	649.6900	-0.380	0.6040	4871.586	1.5	2.5120	20260.647	0.5	2.0	0.790	99.000	AO	1.00E+05	0.000	0.000	365.264	-7.578	365.264	1.000	0.740	100.490	d	p	F	0	2	56.1	56.0	56.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	649.6912	649.6682	649.7182		271605	271582	271632	0.620	0.600	649.6682	649.7182	271582	271632	649.6910	0.0059	-0.6195	1.000	9999.0000	0.0012	0.0139	6.4146	46736	0.620	0.618	0.0092	-4.85	91.7	0.0	0.0	0.000	0.000	0.0000	0.016	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6498.939	649.8939	-4.699	0.9581	7727.594	3.0	2.8650	23107.784	3.0	7.0	1.250	1.510	AO	2.29E+04	4.360	-6.210	226.253	-7.782	226.253	1.000	0.510	42.130	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	649.8942	649.8722	649.9132		271808	271786	271827	0.330	0.309	649.8722	649.9132	271786	271827	649.8946	0.0054	-0.3301	1.000	9999.0000	0.0019	0.0127	5.8473	51270	0.330	0.326	0.0045	-5.16	44.5	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ca 1	6499.650	649.9650	-0.818	2.5230	20349.357	2.0	4.4300	35730.360	2.0	5.0	1.160	0.750	AO	4.37E+07	7.640	-6.072	364.239	-7.571	364.239	1.000	0.610	84.320	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	649.9652	649.9422	649.9852		271879	271856	271899	0.516	0.496	649.9422	649.9852	271856	271899	649.9655	0.0063	-0.5160	1.000	9999.0000	0.0016	0.0149	6.8691	43644	0.516	0.510	0.0082	-4.90	81.8	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6593.871	659.3871	-2.422	2.4326	19620.233	5.0	4.3130	34786.691	5.0	11.0	1.040	1.220	AO	1.02E+08	8.010	-6.080	321.247	-7.629	321.247	1.000	0.650	82.300	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	659.3879	659.3589	659.4179		281301	281272	281331	0.504	0.483	659.3589	659.4179	281272	281331	659.3881	0.0061	-0.5045	1.000	9999.0000	0.0014	0.0144	6.5668	45653	0.504	0.494	0.0078	-4.93	77.6	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6597.561	659.7561	-0.980	4.7950	38674.264	2.0	6.6740	53829.441	3.0	7.0	1.150	1.110	AO	2.51E+08	8.400	-4.690	893.276	-7.190	893.276	1.000	0.390	36.400	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	659.7569	659.7349	659.7769		281670	281648	281690	0.290	0.269	659.7349	659.7769	281648	281690	659.7564	0.0058	-0.2900	1.000	9999.0000	0.0021	0.0137	6.2042	48321	0.290	0.286	0.0042	-5.19	42.1	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6643.630	664.3630	-2.100	1.6760	13517.845	2.0	3.5420	28568.157	2.0	5.0	1.140	1.490	AO	1.26E+08	8.100	-6.140	258.274	-7.729	258.274	1.000	0.660	81.570	s	p	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	664.3642	664.3372	664.3862		286277	286250	286299	0.520	0.499	664.3372	664.3862	286250	286299	664.3635	0.0070	-0.5211	1.000	9999.0000	0.0016	0.0164	7.3852	40594	0.521	0.517	0.0091	-4.86	90.8	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Al 1	6696.018	669.6018	-1.481	3.1430	25349.992	0.5	4.9940	40279.327	1.5	4.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.380	42.850	s	p	F	0	1	13.0	13.0	13.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	669.6026	669.5826	669.6196		291515	291495	291532	0.215	0.194	669.5826	669.6196	291495	291532	669.6026	0.0066	-0.2133	1.000	9999.0000	0.0031	0.0155	6.9445	43170	0.213	0.209	0.0035	-5.28	35.2	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Al 1	6698.667	669.8667	-1.782	3.1430	25349.992	0.5	4.9930	40271.261	0.5	2.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.260	27.030	s	p	F	0	1	13.0	13.0	13.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	669.8676	669.8386	669.8906		291780	291751	291803	0.126	0.105	669.8386	669.8906	291751	291803	669.8675	0.0066	-0.1252	1.000	9999.0000	0.0033	0.0155	6.9386	43207	0.125	0.124	0.0021	-5.51	20.7	0.0	0.0	0.000	0.000	0.0000	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6703.567	670.3567	-3.023	2.7585	22248.792	3.0	4.6080	37166.027	3.0	7.0	0.760	1.090	AO	1.20E+08	8.080	-6.280	320.264	-7.633	320.264	1.000	0.380	30.240	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	670.3577	670.3267	670.3817		292270	292239	292294	0.253	0.232	670.3267	670.3817	292239	292294	670.3573	0.0056	-0.2536	1.000	9999.0000	0.0020	0.0133	5.9368	50497	0.254	0.252	0.0036	-5.27	35.8	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6705.102	670.5102	-0.980	4.6070	37157.943	2.0	6.4560	52071.152	2.0	5.0	1.840	1.810	GA	2.51E+08	8.400	-4.470	-7.480	-7.480	-7.480	1.000	0.340	29.260	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	670.5107	670.4817	670.5337		292423	292394	292446	0.291	0.270	670.4817	670.5337	292394	292446	670.5107	0.0062	-0.2901	1.000	9999.0000	0.0022	0.0145	6.4879	46208	0.290	0.287	0.0045	-5.17	44.8	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6713.745	671.3745	-1.400	4.7950	38674.264	2.0	6.6420	53571.343	2.0	5.0	1.150	1.400	AO	2.57E+08	8.410	-4.570	857.272	-7.207	857.272	1.000	0.190	15.250	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	671.3747	671.3507	671.3967		293287	293263	293309	0.141	0.121	671.3507	671.3967	293263	293309	671.3747	0.0058	-0.1411	1.000	9999.0000	0.0032	0.0137	6.1263	48936	0.141	0.139	0.0021	-5.51	20.6	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Si 1	6721.848	672.1848	-1.120	5.8620	47280.195	1.0	7.7070	62161.148	2.0	5.0	1.000	0.870	GA	2.45E+07	7.390	-3.100	-7.020	-7.020	-7.020	1.000	0.170	22.990	p	d	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	672.1838	672.1588	672.2148		294096	294071	294127	0.218	0.198	672.1588	672.2148	294071	294127	672.1847	0.0077	-0.2184	1.000	9999.0000	0.0041	0.0182	8.1047	36990	0.218	0.211	0.0042	-5.20	42.3	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6726.667	672.6667	-1.030	4.6070	37157.943	2.0	6.4500	52022.759	1.0	3.0	1.840	2.430	GA	2.29E+08	8.360	-4.690	-7.520	-7.520	-7.520	1.000	0.440	41.170	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	672.6668	672.6408	672.6918		294579	294553	294604	0.301	0.280	672.6408	672.6918	294553	294604	672.6672	0.0061	-0.3000	1.000	9999.0000	0.0020	0.0143	6.3744	47030	0.300	0.299	0.0046	-5.17	45.7	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6733.151	673.3151	-1.470	4.6380	37407.975	1.0	6.4790	52256.660	0.0	1.0	2.500	0.000	AO	2.57E+08	8.410	-5.360	781.273	-7.247	781.273	1.000	0.250	20.770	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	673.3159	673.2889	673.3349		295228	295201	295247	0.180	0.160	673.2889	673.3349	295201	295247	673.3155	0.0058	-0.1798	1.000	9999.0000	0.0026	0.0137	6.0823	49289	0.180	0.179	0.0026	-5.41	26.1	0.0	0.0	0.000	0.000	0.0000	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6750.152	675.0152	-2.621	2.4241	19551.676	1.0	4.2600	34359.217	1.0	3.0	1.500	1.500	AO	4.90E+06	6.690	-6.130	335.241	-7.609	335.241	1.000	0.610	73.530	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	675.0160	674.9900	675.0440		296928	296902	296956	0.472	0.452	674.9900	675.0440	296902	296956	675.0160	0.0061	-0.4711	1.000	9999.0000	0.0015	0.0143	6.3583	47150	0.471	0.466	0.0072	-4.97	71.8	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6752.707	675.2707	-1.204	4.6380	37407.975	1.0	6.4740	52216.332	1.0	3.0	2.500	1.420	AO	2.63E+08	8.420	-5.470	778.274	-7.249	778.274	1.000	0.400	37.250	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	675.2710	675.2520	675.2860		297183	297164	297198	0.215	0.195	675.2520	675.2860	297164	297198	675.2709	0.0063	-0.2135	1.000	9999.0000	0.0029	0.0148	6.5544	45739	0.214	0.199	0.0034	-5.30	33.6	0.0	0.0	0.000	0.000	0.0000	0.013	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6767.772	676.7772	-2.170	1.8260	14727.676	0.0	3.6580	29503.760	1.0	3.0	0.000	1.430	GA	1.29E+08	8.110	-6.120	-7.760	-7.760	-7.760	1.000	0.640	79.050	d	p	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	676.7781	676.7561	676.8031		298690	298668	298715	0.481	0.460	676.7561	676.8031	298668	298715	676.7782	0.0063	-0.4803	1.000	9999.0000	0.0016	0.0149	6.5844	45531	0.480	0.473	0.0076	-4.95	76.0	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Ni 1	6772.315	677.2315	-0.990	3.6570	29495.680	1.0	5.4880	44263.705	2.0	5.0	1.430	1.090	AO	1.91E+08	8.280	-5.330	795.245	-7.234	795.245	1.000	0.490	50.240	p	s	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	677.2322	677.2112	677.2632		299144	299123	299175	0.312	0.291	677.2112	677.2632	299123	299175	677.2323	0.0061	-0.3109	1.000	9999.0000	0.0020	0.0144	6.3670	47085	0.311	0.306	0.0048	-5.15	47.6	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6806.845	680.6845	-3.110	2.7270	21994.728	4.0	4.5490	36690.160	4.0	9.0	1.050	1.250	AO	1.17E+08	8.070	-6.090	313.268	-7.643	313.268	1.000	0.370	29.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	680.6854	680.6664	680.7114		302597	302578	302623	0.240	0.219	680.6664	680.7114	302578	302623	680.6852	0.0057	-0.2388	1.000	9999.0000	0.0022	0.0134	5.8834	50955	0.239	0.234	0.0034	-5.30	34.0	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6810.263	681.0263	-0.986	4.6070	37157.943	2.0	6.4270	51837.251	3.0	7.0	1.840	1.660	AO	2.63E+08	8.420	-5.230	873.275	-7.199	873.275	1.000	0.470	51.250	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	681.0264	681.0024	681.0524		302938	302914	302964	0.313	0.292	681.0024	681.0524	302914	302964	681.0267	0.0061	-0.3124	1.000	9999.0000	0.0020	0.0144	6.3212	47426	0.312	0.308	0.0048	-5.15	47.7	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6839.830	683.9830	-3.350	2.5590	20639.717	4.0	4.3710	35254.493	4.0	9.0	1.240	1.100	AO	1.12E+08	8.050	-6.060	330.248	-7.617	330.248	1.000	0.340	26.620	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	683.9836	683.9606	684.0116		305895	305872	305923	0.203	0.182	683.9606	684.0116	305872	305923	683.9837	0.0059	-0.2018	1.000	9999.0000	0.0024	0.0138	6.0444	49599	0.202	0.201	0.0030	-5.36	29.6	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6843.656	684.3656	-0.860	4.5480	36682.076	4.0	6.3600	51296.860	3.0	7.0	1.250	1.350	AO	2.69E+08	8.430	-5.290	736.216	-7.262	736.216	1.000	0.500	56.730	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	684.3657	684.3357	684.3957		306277	306247	306307	0.362	0.342	684.3357	684.3957	306247	306307	684.3661	0.0065	-0.3608	1.000	9999.0000	0.0017	0.0152	6.6662	44972	0.361	0.361	0.0058	-5.07	58.4	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6858.150	685.8150	-0.930	4.6070	37157.943	3.0	6.4150	51740.465	2.0	5.0	1.090	1.130	AO	2.69E+08	8.430	-5.570	765.211	-7.245	765.211	1.000	0.490	53.780	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	685.8158	685.7918	685.8388		307727	307703	307750	0.318	0.298	685.7918	685.8388	307703	307750	685.8155	0.0063	-0.3172	1.000	9999.0000	0.0020	0.0149	6.4994	46126	0.317	0.313	0.0050	-5.14	50.2	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
